fecha_resultado,pais,iso3c,departamento,n,n_acum
2020-04-05,Peru,PER,AMAZONAS,4,4
2020-04-06,Peru,PER,AMAZONAS,1,5
2020-04-07,Peru,PER,AMAZONAS,4,9
2020-04-08,Peru,PER,AMAZONAS,5,14
2020-04-09,Peru,PER,AMAZONAS,5,19
2020-04-10,Peru,PER,AMAZONAS,5,19
2020-04-11,Peru,PER,AMAZONAS,5,19
2020-04-12,Peru,PER,AMAZONAS,8,27
2020-04-13,Peru,PER,AMAZONAS,8,27
2020-04-14,Peru,PER,AMAZONAS,8,35
2020-04-15,Peru,PER,AMAZONAS,11,46
2020-04-16,Peru,PER,AMAZONAS,3,49
2020-04-17,Peru,PER,AMAZONAS,1,50
2020-04-18,Peru,PER,AMAZONAS,3,53
2020-04-19,Peru,PER,AMAZONAS,1,54
2020-04-20,Peru,PER,AMAZONAS,3,57
2020-04-21,Peru,PER,AMAZONAS,7,64
2020-04-22,Peru,PER,AMAZONAS,2,66
2020-04-23,Peru,PER,AMAZONAS,2,68
2020-04-24,Peru,PER,AMAZONAS,6,74
2020-04-25,Peru,PER,AMAZONAS,9,83
2020-04-26,Peru,PER,AMAZONAS,8,91
2020-04-27,Peru,PER,AMAZONAS,14,105
2020-04-28,Peru,PER,AMAZONAS,9,114
2020-04-29,Peru,PER,AMAZONAS,14,128
2020-04-30,Peru,PER,AMAZONAS,37,165
2020-05-01,Peru,PER,AMAZONAS,85,250
2020-05-02,Peru,PER,AMAZONAS,50,300
2020-05-03,Peru,PER,AMAZONAS,2,302
2020-05-04,Peru,PER,AMAZONAS,26,328
2020-05-05,Peru,PER,AMAZONAS,12,340
2020-05-06,Peru,PER,AMAZONAS,11,351
2020-05-07,Peru,PER,AMAZONAS,9,360
2020-05-08,Peru,PER,AMAZONAS,19,379
2020-05-09,Peru,PER,AMAZONAS,4,383
2020-05-10,Peru,PER,AMAZONAS,4,383
2020-05-11,Peru,PER,AMAZONAS,12,395
2020-05-12,Peru,PER,AMAZONAS,11,406
2020-05-13,Peru,PER,AMAZONAS,8,414
2020-05-14,Peru,PER,AMAZONAS,3,417
2020-05-15,Peru,PER,AMAZONAS,23,440
2020-05-16,Peru,PER,AMAZONAS,32,472
2020-05-17,Peru,PER,AMAZONAS,1,473
2020-05-18,Peru,PER,AMAZONAS,20,493
2020-05-19,Peru,PER,AMAZONAS,30,523
2020-05-20,Peru,PER,AMAZONAS,12,535
2020-05-21,Peru,PER,AMAZONAS,54,589
2020-05-22,Peru,PER,AMAZONAS,25,614
2020-05-23,Peru,PER,AMAZONAS,8,622
2020-05-24,Peru,PER,AMAZONAS,5,627
2020-05-25,Peru,PER,AMAZONAS,50,677
2020-05-26,Peru,PER,AMAZONAS,22,699
2020-05-27,Peru,PER,AMAZONAS,19,718
2020-05-28,Peru,PER,AMAZONAS,25,743
2020-05-29,Peru,PER,AMAZONAS,13,756
2020-05-30,Peru,PER,AMAZONAS,13,769
2020-05-31,Peru,PER,AMAZONAS,12,781
2020-06-01,Peru,PER,AMAZONAS,14,795
2020-06-02,Peru,PER,AMAZONAS,14,809
2020-06-03,Peru,PER,AMAZONAS,35,844
2020-06-04,Peru,PER,AMAZONAS,36,880
2020-06-05,Peru,PER,AMAZONAS,49,929
2020-06-06,Peru,PER,AMAZONAS,37,966
2020-06-07,Peru,PER,AMAZONAS,12,978
2020-06-08,Peru,PER,AMAZONAS,57,1035
2020-06-09,Peru,PER,AMAZONAS,75,1110
2020-06-10,Peru,PER,AMAZONAS,60,1170
2020-06-11,Peru,PER,AMAZONAS,43,1213
2020-06-12,Peru,PER,AMAZONAS,71,1284
2020-06-13,Peru,PER,AMAZONAS,67,1351
2020-06-14,Peru,PER,AMAZONAS,16,1367
2020-06-15,Peru,PER,AMAZONAS,199,1566
2020-06-16,Peru,PER,AMAZONAS,58,1624
2020-06-17,Peru,PER,AMAZONAS,62,1686
2020-06-18,Peru,PER,AMAZONAS,35,1721
2020-06-19,Peru,PER,AMAZONAS,79,1800
2020-06-20,Peru,PER,AMAZONAS,42,1842
2020-06-21,Peru,PER,AMAZONAS,13,1855
2020-06-22,Peru,PER,AMAZONAS,45,1900
2020-06-23,Peru,PER,AMAZONAS,45,1945
2020-06-24,Peru,PER,AMAZONAS,174,2119
2020-06-25,Peru,PER,AMAZONAS,59,2178
2020-06-26,Peru,PER,AMAZONAS,52,2230
2020-06-27,Peru,PER,AMAZONAS,55,2285
2020-06-28,Peru,PER,AMAZONAS,28,2313
2020-06-29,Peru,PER,AMAZONAS,29,2342
2020-06-30,Peru,PER,AMAZONAS,101,2443
2020-07-01,Peru,PER,AMAZONAS,72,2515
2020-07-02,Peru,PER,AMAZONAS,72,2587
2020-07-03,Peru,PER,AMAZONAS,203,2790
2020-07-04,Peru,PER,AMAZONAS,84,2874
2020-07-05,Peru,PER,AMAZONAS,23,2897
2020-07-06,Peru,PER,AMAZONAS,145,3042
2020-07-07,Peru,PER,AMAZONAS,121,3163
2020-07-08,Peru,PER,AMAZONAS,120,3283
2020-07-09,Peru,PER,AMAZONAS,67,3350
2020-07-10,Peru,PER,AMAZONAS,78,3428
2020-07-11,Peru,PER,AMAZONAS,92,3520
2020-07-12,Peru,PER,AMAZONAS,89,3609
2020-07-13,Peru,PER,AMAZONAS,78,3687
2020-07-14,Peru,PER,AMAZONAS,114,3801
2020-07-15,Peru,PER,AMAZONAS,84,3885
2020-07-16,Peru,PER,AMAZONAS,113,3998
2020-07-17,Peru,PER,AMAZONAS,325,4323
2020-07-18,Peru,PER,AMAZONAS,151,4474
2020-07-19,Peru,PER,AMAZONAS,46,4520
2020-07-20,Peru,PER,AMAZONAS,136,4656
2020-07-21,Peru,PER,AMAZONAS,86,4742
2020-07-22,Peru,PER,AMAZONAS,140,4882
2020-07-23,Peru,PER,AMAZONAS,191,5073
2020-07-24,Peru,PER,AMAZONAS,314,5387
2020-07-25,Peru,PER,AMAZONAS,188,5575
2020-07-26,Peru,PER,AMAZONAS,44,5619
2020-07-27,Peru,PER,AMAZONAS,184,5803
2020-07-28,Peru,PER,AMAZONAS,63,5866
2020-07-29,Peru,PER,AMAZONAS,146,6012
2020-07-30,Peru,PER,AMAZONAS,134,6146
2020-07-31,Peru,PER,AMAZONAS,165,6311
2020-08-01,Peru,PER,AMAZONAS,243,6554
2020-08-02,Peru,PER,AMAZONAS,43,6597
2020-08-03,Peru,PER,AMAZONAS,142,6739
2020-08-04,Peru,PER,AMAZONAS,171,6910
2020-08-05,Peru,PER,AMAZONAS,140,7050
2020-08-06,Peru,PER,AMAZONAS,201,7251
2020-08-07,Peru,PER,AMAZONAS,137,7388
2020-08-08,Peru,PER,AMAZONAS,111,7499
2020-08-09,Peru,PER,AMAZONAS,12,7511
2020-08-10,Peru,PER,AMAZONAS,194,7705
2020-08-11,Peru,PER,AMAZONAS,172,7877
2020-08-12,Peru,PER,AMAZONAS,154,8031
2020-08-13,Peru,PER,AMAZONAS,248,8279
2020-08-14,Peru,PER,AMAZONAS,232,8511
2020-08-15,Peru,PER,AMAZONAS,73,8584
2020-08-16,Peru,PER,AMAZONAS,38,8622
2020-08-17,Peru,PER,AMAZONAS,151,8773
2020-08-18,Peru,PER,AMAZONAS,126,8899
2020-08-19,Peru,PER,AMAZONAS,190,9089
2020-08-20,Peru,PER,AMAZONAS,231,9320
2020-08-21,Peru,PER,AMAZONAS,166,9486
2020-08-22,Peru,PER,AMAZONAS,129,9615
2020-08-23,Peru,PER,AMAZONAS,24,9639
2020-08-24,Peru,PER,AMAZONAS,153,9792
2020-08-25,Peru,PER,AMAZONAS,293,10085
2020-08-26,Peru,PER,AMAZONAS,35,10120
2020-03-15,Peru,PER,ANCASH,1,1
2020-03-16,Peru,PER,ANCASH,1,1
2020-03-17,Peru,PER,ANCASH,1,1
2020-03-18,Peru,PER,ANCASH,1,2
2020-03-19,Peru,PER,ANCASH,2,4
2020-03-20,Peru,PER,ANCASH,2,4
2020-03-21,Peru,PER,ANCASH,2,4
2020-03-22,Peru,PER,ANCASH,2,4
2020-03-23,Peru,PER,ANCASH,2,4
2020-03-24,Peru,PER,ANCASH,1,5
2020-03-25,Peru,PER,ANCASH,1,6
2020-03-26,Peru,PER,ANCASH,1,6
2020-03-27,Peru,PER,ANCASH,1,6
2020-03-28,Peru,PER,ANCASH,1,6
2020-03-29,Peru,PER,ANCASH,5,11
2020-03-30,Peru,PER,ANCASH,5,11
2020-03-31,Peru,PER,ANCASH,2,13
2020-04-01,Peru,PER,ANCASH,2,13
2020-04-02,Peru,PER,ANCASH,2,15
2020-04-03,Peru,PER,ANCASH,2,15
2020-04-04,Peru,PER,ANCASH,9,24
2020-04-05,Peru,PER,ANCASH,7,31
2020-04-06,Peru,PER,ANCASH,13,44
2020-04-07,Peru,PER,ANCASH,26,70
2020-04-08,Peru,PER,ANCASH,10,80
2020-04-09,Peru,PER,ANCASH,12,92
2020-04-10,Peru,PER,ANCASH,16,108
2020-04-11,Peru,PER,ANCASH,25,133
2020-04-12,Peru,PER,ANCASH,7,140
2020-04-13,Peru,PER,ANCASH,19,159
2020-04-14,Peru,PER,ANCASH,28,187
2020-04-15,Peru,PER,ANCASH,42,229
2020-04-16,Peru,PER,ANCASH,37,266
2020-04-17,Peru,PER,ANCASH,25,291
2020-04-18,Peru,PER,ANCASH,56,347
2020-04-19,Peru,PER,ANCASH,10,357
2020-04-20,Peru,PER,ANCASH,34,391
2020-04-21,Peru,PER,ANCASH,45,436
2020-04-22,Peru,PER,ANCASH,30,466
2020-04-23,Peru,PER,ANCASH,46,512
2020-04-24,Peru,PER,ANCASH,56,568
2020-04-25,Peru,PER,ANCASH,56,624
2020-04-26,Peru,PER,ANCASH,12,636
2020-04-27,Peru,PER,ANCASH,43,679
2020-04-28,Peru,PER,ANCASH,97,776
2020-04-29,Peru,PER,ANCASH,71,847
2020-04-30,Peru,PER,ANCASH,108,955
2020-05-01,Peru,PER,ANCASH,66,1021
2020-05-02,Peru,PER,ANCASH,119,1140
2020-05-03,Peru,PER,ANCASH,25,1165
2020-05-04,Peru,PER,ANCASH,108,1273
2020-05-05,Peru,PER,ANCASH,125,1398
2020-05-06,Peru,PER,ANCASH,74,1472
2020-05-07,Peru,PER,ANCASH,78,1550
2020-05-08,Peru,PER,ANCASH,53,1603
2020-05-09,Peru,PER,ANCASH,69,1672
2020-05-10,Peru,PER,ANCASH,11,1683
2020-05-11,Peru,PER,ANCASH,121,1804
2020-05-12,Peru,PER,ANCASH,101,1905
2020-05-13,Peru,PER,ANCASH,152,2057
2020-05-14,Peru,PER,ANCASH,179,2236
2020-05-15,Peru,PER,ANCASH,166,2402
2020-05-16,Peru,PER,ANCASH,103,2505
2020-05-17,Peru,PER,ANCASH,49,2554
2020-05-18,Peru,PER,ANCASH,97,2651
2020-05-19,Peru,PER,ANCASH,281,2932
2020-05-20,Peru,PER,ANCASH,125,3057
2020-05-21,Peru,PER,ANCASH,134,3191
2020-05-22,Peru,PER,ANCASH,180,3371
2020-05-23,Peru,PER,ANCASH,140,3511
2020-05-24,Peru,PER,ANCASH,52,3563
2020-05-25,Peru,PER,ANCASH,179,3742
2020-05-26,Peru,PER,ANCASH,187,3929
2020-05-27,Peru,PER,ANCASH,225,4154
2020-05-28,Peru,PER,ANCASH,242,4396
2020-05-29,Peru,PER,ANCASH,174,4570
2020-05-30,Peru,PER,ANCASH,146,4716
2020-05-31,Peru,PER,ANCASH,34,4750
2020-06-01,Peru,PER,ANCASH,137,4887
2020-06-02,Peru,PER,ANCASH,139,5026
2020-06-03,Peru,PER,ANCASH,119,5145
2020-06-04,Peru,PER,ANCASH,113,5258
2020-06-05,Peru,PER,ANCASH,83,5341
2020-06-06,Peru,PER,ANCASH,112,5453
2020-06-07,Peru,PER,ANCASH,103,5556
2020-06-08,Peru,PER,ANCASH,167,5723
2020-06-09,Peru,PER,ANCASH,127,5850
2020-06-10,Peru,PER,ANCASH,134,5984
2020-06-11,Peru,PER,ANCASH,134,6118
2020-06-12,Peru,PER,ANCASH,120,6238
2020-06-13,Peru,PER,ANCASH,146,6384
2020-06-14,Peru,PER,ANCASH,89,6473
2020-06-15,Peru,PER,ANCASH,113,6586
2020-06-16,Peru,PER,ANCASH,121,6707
2020-06-17,Peru,PER,ANCASH,99,6806
2020-06-18,Peru,PER,ANCASH,127,6933
2020-06-19,Peru,PER,ANCASH,104,7037
2020-06-20,Peru,PER,ANCASH,104,7141
2020-06-21,Peru,PER,ANCASH,59,7200
2020-06-22,Peru,PER,ANCASH,117,7317
2020-06-23,Peru,PER,ANCASH,117,7434
2020-06-24,Peru,PER,ANCASH,126,7560
2020-06-25,Peru,PER,ANCASH,101,7661
2020-06-26,Peru,PER,ANCASH,111,7772
2020-06-27,Peru,PER,ANCASH,78,7850
2020-06-28,Peru,PER,ANCASH,39,7889
2020-06-29,Peru,PER,ANCASH,129,8018
2020-06-30,Peru,PER,ANCASH,131,8149
2020-07-01,Peru,PER,ANCASH,145,8294
2020-07-02,Peru,PER,ANCASH,125,8419
2020-07-03,Peru,PER,ANCASH,136,8555
2020-07-04,Peru,PER,ANCASH,127,8682
2020-07-05,Peru,PER,ANCASH,47,8729
2020-07-06,Peru,PER,ANCASH,170,8899
2020-07-07,Peru,PER,ANCASH,199,9098
2020-07-08,Peru,PER,ANCASH,87,9185
2020-07-09,Peru,PER,ANCASH,50,9235
2020-07-10,Peru,PER,ANCASH,151,9386
2020-07-11,Peru,PER,ANCASH,189,9575
2020-07-12,Peru,PER,ANCASH,103,9678
2020-07-13,Peru,PER,ANCASH,55,9733
2020-07-14,Peru,PER,ANCASH,148,9881
2020-07-15,Peru,PER,ANCASH,94,9975
2020-07-16,Peru,PER,ANCASH,130,10105
2020-07-17,Peru,PER,ANCASH,97,10202
2020-07-18,Peru,PER,ANCASH,154,10356
2020-07-19,Peru,PER,ANCASH,67,10423
2020-07-20,Peru,PER,ANCASH,129,10552
2020-07-21,Peru,PER,ANCASH,95,10647
2020-07-22,Peru,PER,ANCASH,144,10791
2020-07-23,Peru,PER,ANCASH,236,11027
2020-07-24,Peru,PER,ANCASH,165,11192
2020-07-25,Peru,PER,ANCASH,201,11393
2020-07-26,Peru,PER,ANCASH,51,11444
2020-07-27,Peru,PER,ANCASH,252,11696
2020-07-28,Peru,PER,ANCASH,80,11776
2020-07-29,Peru,PER,ANCASH,198,11974
2020-07-30,Peru,PER,ANCASH,204,12178
2020-07-31,Peru,PER,ANCASH,242,12420
2020-08-01,Peru,PER,ANCASH,196,12616
2020-08-02,Peru,PER,ANCASH,89,12705
2020-08-03,Peru,PER,ANCASH,234,12939
2020-08-04,Peru,PER,ANCASH,260,13199
2020-08-05,Peru,PER,ANCASH,238,13437
2020-08-06,Peru,PER,ANCASH,202,13639
2020-08-07,Peru,PER,ANCASH,180,13819
2020-08-08,Peru,PER,ANCASH,241,14060
2020-08-09,Peru,PER,ANCASH,89,14149
2020-08-10,Peru,PER,ANCASH,238,14387
2020-08-11,Peru,PER,ANCASH,224,14611
2020-08-12,Peru,PER,ANCASH,188,14799
2020-08-13,Peru,PER,ANCASH,206,15005
2020-08-14,Peru,PER,ANCASH,250,15255
2020-08-15,Peru,PER,ANCASH,257,15512
2020-08-16,Peru,PER,ANCASH,54,15566
2020-08-17,Peru,PER,ANCASH,269,15835
2020-08-18,Peru,PER,ANCASH,201,16036
2020-08-19,Peru,PER,ANCASH,244,16280
2020-08-20,Peru,PER,ANCASH,228,16508
2020-08-21,Peru,PER,ANCASH,239,16747
2020-08-22,Peru,PER,ANCASH,173,16920
2020-08-23,Peru,PER,ANCASH,55,16975
2020-08-24,Peru,PER,ANCASH,215,17190
2020-08-25,Peru,PER,ANCASH,228,17418
2020-08-26,Peru,PER,ANCASH,177,17595
2020-04-01,Peru,PER,APURIMAC,1,1
2020-04-02,Peru,PER,APURIMAC,1,1
2020-04-03,Peru,PER,APURIMAC,1,1
2020-04-04,Peru,PER,APURIMAC,1,1
2020-04-05,Peru,PER,APURIMAC,1,1
2020-04-06,Peru,PER,APURIMAC,1,1
2020-04-07,Peru,PER,APURIMAC,1,1
2020-04-08,Peru,PER,APURIMAC,1,1
2020-04-09,Peru,PER,APURIMAC,3,4
2020-04-10,Peru,PER,APURIMAC,3,4
2020-04-11,Peru,PER,APURIMAC,2,6
2020-04-12,Peru,PER,APURIMAC,2,6
2020-04-13,Peru,PER,APURIMAC,7,13
2020-04-14,Peru,PER,APURIMAC,10,23
