fecha_resultado,pais,iso3c,n,n_acum
2020-03-06,Peru,PER,1,1
2020-03-07,Peru,PER,5,6
2020-03-08,Peru,PER,2,8
2020-03-09,Peru,PER,3,11
2020-03-10,Peru,PER,1,12
2020-03-11,Peru,PER,8,20
2020-03-12,Peru,PER,8,28
2020-03-13,Peru,PER,10,38
2020-03-14,Peru,PER,19,57
2020-03-15,Peru,PER,28,85
2020-03-16,Peru,PER,20,105
2020-03-17,Peru,PER,27,132
2020-03-18,Peru,PER,56,188
2020-03-19,Peru,PER,62,250
2020-03-20,Peru,PER,56,306
2020-03-21,Peru,PER,30,336
2020-03-22,Peru,PER,39,375
2020-03-23,Peru,PER,33,408
2020-03-24,Peru,PER,64,472
2020-03-25,Peru,PER,100,572
2020-03-26,Peru,PER,52,624
2020-03-27,Peru,PER,34,658
2020-03-28,Peru,PER,136,794
2020-03-29,Peru,PER,142,936
2020-03-30,Peru,PER,130,1066
2020-03-31,Peru,PER,250,1316
2020-04-01,Peru,PER,117,1433
2020-04-02,Peru,PER,222,1655
2020-04-03,Peru,PER,290,1945
2020-04-04,Peru,PER,832,2777
2020-04-05,Peru,PER,444,3221
2020-04-06,Peru,PER,647,3868
2020-04-07,Peru,PER,1042,4910
2020-04-08,Peru,PER,1083,5993
2020-04-09,Peru,PER,817,6810
2020-04-10,Peru,PER,1038,7848
2020-04-11,Peru,PER,1404,9252
2020-04-12,Peru,PER,738,9990
2020-04-13,Peru,PER,1283,11273
2020-04-14,Peru,PER,1041,12314
2020-04-15,Peru,PER,1383,13697
2020-04-16,Peru,PER,1329,15026
2020-04-17,Peru,PER,1109,16135
2020-04-18,Peru,PER,1407,17542
2020-04-19,Peru,PER,1076,18618
2020-04-20,Peru,PER,2038,20656
2020-04-21,Peru,PER,2169,22825
2020-04-22,Peru,PER,2103,24928
2020-04-23,Peru,PER,2056,26984
2020-04-24,Peru,PER,2239,29223
2020-04-25,Peru,PER,2396,31619
2020-04-26,Peru,PER,1422,33041
2020-04-27,Peru,PER,3397,36438
2020-04-28,Peru,PER,3367,39805
2020-04-29,Peru,PER,4237,44042
2020-04-30,Peru,PER,3372,47414
2020-05-01,Peru,PER,2623,50037
2020-05-02,Peru,PER,3369,53406
2020-05-03,Peru,PER,1921,55327
2020-05-04,Peru,PER,3983,59310
2020-05-05,Peru,PER,3968,63278
2020-05-06,Peru,PER,3634,66912
2020-05-07,Peru,PER,3608,70520
2020-05-08,Peru,PER,3295,73815
2020-05-09,Peru,PER,2467,76282
2020-05-10,Peru,PER,936,77218
2020-05-11,Peru,PER,3599,80817
2020-05-12,Peru,PER,4339,85156
2020-05-13,Peru,PER,4435,89591
2020-05-14,Peru,PER,3739,93330
2020-05-15,Peru,PER,4304,97634
2020-05-16,Peru,PER,4124,101758
2020-05-17,Peru,PER,1785,103543
2020-05-18,Peru,PER,5128,108671
2020-05-19,Peru,PER,5198,113869
2020-05-20,Peru,PER,5289,119158
2020-05-21,Peru,PER,5514,124672
2020-05-22,Peru,PER,6099,130771
2020-05-23,Peru,PER,5398,136169
2020-05-24,Peru,PER,1791,137960
2020-05-25,Peru,PER,6968,144928
2020-05-26,Peru,PER,6918,151846
2020-05-27,Peru,PER,7363,159209
2020-05-28,Peru,PER,6421,165630
2020-05-29,Peru,PER,5742,171372
2020-05-30,Peru,PER,4611,175983
2020-05-31,Peru,PER,2259,178242
2020-06-01,Peru,PER,4236,182478
2020-06-02,Peru,PER,3769,186247
2020-06-03,Peru,PER,2606,188853
2020-06-04,Peru,PER,4009,192862
2020-06-05,Peru,PER,4939,197801
2020-06-06,Peru,PER,4736,202537
2020-06-07,Peru,PER,2634,205171
2020-06-08,Peru,PER,4736,209907
2020-06-09,Peru,PER,5306,215213
2020-06-10,Peru,PER,5721,220934
2020-06-11,Peru,PER,5058,225992
2020-06-12,Peru,PER,4646,230638
2020-06-13,Peru,PER,4483,235121
2020-06-14,Peru,PER,2428,237549
2020-06-15,Peru,PER,4349,241898
2020-06-16,Peru,PER,3366,245264
2020-06-17,Peru,PER,3881,249145
2020-06-18,Peru,PER,3399,252544
2020-06-19,Peru,PER,3430,255974
2020-06-20,Peru,PER,3491,259465
2020-06-21,Peru,PER,1445,260910
2020-06-22,Peru,PER,4206,265116
2020-06-23,Peru,PER,3748,268864
2020-06-24,Peru,PER,4084,272948
2020-06-25,Peru,PER,4121,277069
2020-06-26,Peru,PER,4284,281353
2020-06-27,Peru,PER,3477,284830
2020-06-28,Peru,PER,1588,286418
2020-06-29,Peru,PER,2722,289140
2020-06-30,Peru,PER,3732,292872
2020-07-01,Peru,PER,3625,296497
2020-07-02,Peru,PER,3308,299805
2020-07-03,Peru,PER,3819,303624
2020-07-04,Peru,PER,3501,307125
2020-07-05,Peru,PER,2261,309386
2020-07-06,Peru,PER,3701,313087
2020-07-07,Peru,PER,3939,317026
2020-07-08,Peru,PER,2501,319527
2020-07-09,Peru,PER,2417,321944
2020-07-10,Peru,PER,4805,326749
2020-07-11,Peru,PER,4136,330885
2020-07-12,Peru,PER,2329,333214
2020-07-13,Peru,PER,2944,336158
2020-07-14,Peru,PER,3969,340127
