fecha_fallecimiento,pais,iso3c,departamento,n,n_acum
2020-05-01,Peru,PER,AMAZONAS,1,1
2020-05-02,Peru,PER,AMAZONAS,1,1
2020-05-03,Peru,PER,AMAZONAS,1,2
2020-05-04,Peru,PER,AMAZONAS,1,3
2020-05-05,Peru,PER,AMAZONAS,2,5
2020-05-06,Peru,PER,AMAZONAS,2,7
2020-05-07,Peru,PER,AMAZONAS,2,7
2020-05-08,Peru,PER,AMAZONAS,2,7
2020-05-09,Peru,PER,AMAZONAS,1,8
2020-05-10,Peru,PER,AMAZONAS,2,10
2020-05-11,Peru,PER,AMAZONAS,1,11
2020-05-12,Peru,PER,AMAZONAS,1,11
2020-05-13,Peru,PER,AMAZONAS,2,13
2020-05-14,Peru,PER,AMAZONAS,1,14
2020-05-15,Peru,PER,AMAZONAS,1,15
2020-05-16,Peru,PER,AMAZONAS,2,17
2020-05-17,Peru,PER,AMAZONAS,1,18
2020-05-18,Peru,PER,AMAZONAS,1,19
2020-05-19,Peru,PER,AMAZONAS,1,20
2020-05-20,Peru,PER,AMAZONAS,1,21
2020-05-21,Peru,PER,AMAZONAS,1,22
2020-05-22,Peru,PER,AMAZONAS,1,22
2020-05-23,Peru,PER,AMAZONAS,1,22
2020-05-24,Peru,PER,AMAZONAS,1,22
2020-05-25,Peru,PER,AMAZONAS,1,22
2020-05-26,Peru,PER,AMAZONAS,1,22
2020-05-27,Peru,PER,AMAZONAS,1,23
2020-05-28,Peru,PER,AMAZONAS,2,25
2020-05-29,Peru,PER,AMAZONAS,2,25
2020-05-30,Peru,PER,AMAZONAS,2,25
2020-05-31,Peru,PER,AMAZONAS,2,25
2020-06-01,Peru,PER,AMAZONAS,1,26
2020-06-02,Peru,PER,AMAZONAS,1,26
2020-06-03,Peru,PER,AMAZONAS,1,27
2020-06-04,Peru,PER,AMAZONAS,1,27
2020-06-05,Peru,PER,AMAZONAS,1,27
2020-06-06,Peru,PER,AMAZONAS,1,27
2020-06-07,Peru,PER,AMAZONAS,1,27
2020-06-08,Peru,PER,AMAZONAS,1,27
2020-06-09,Peru,PER,AMAZONAS,1,27
2020-06-10,Peru,PER,AMAZONAS,1,27
2020-06-11,Peru,PER,AMAZONAS,1,28
2020-06-12,Peru,PER,AMAZONAS,1,29
2020-06-13,Peru,PER,AMAZONAS,1,29
2020-06-14,Peru,PER,AMAZONAS,1,29
2020-06-15,Peru,PER,AMAZONAS,1,30
2020-06-16,Peru,PER,AMAZONAS,1,30
2020-06-17,Peru,PER,AMAZONAS,1,31
2020-06-18,Peru,PER,AMAZONAS,1,32
2020-06-19,Peru,PER,AMAZONAS,1,33
2020-06-20,Peru,PER,AMAZONAS,1,33
2020-06-21,Peru,PER,AMAZONAS,1,34
2020-06-22,Peru,PER,AMAZONAS,1,34
2020-03-28,Peru,PER,ANCASH,1,1
2020-03-29,Peru,PER,ANCASH,1,1
2020-03-30,Peru,PER,ANCASH,1,1
2020-03-31,Peru,PER,ANCASH,1,1
2020-04-01,Peru,PER,ANCASH,1,1
2020-04-02,Peru,PER,ANCASH,1,1
2020-04-03,Peru,PER,ANCASH,1,1
