pais,iso3c,fecha_fallecimiento,departamento,provincia,distrito,n,n_acum
Peru,PER,2020-03-19,LIMA,LIMA,MIRAFLORES,1,1
Peru,PER,2020-03-19,LIMA,LIMA,RIMAC,1,2
Peru,PER,2020-03-19,LIMA,LIMA,SANTIAGO DE SURCO,1,3
Peru,PER,2020-03-20,LIMA,LIMA,LIMA,1,1
Peru,PER,2020-03-20,LIMA,LIMA,SAN JUAN DE LURIGANCHO,1,2
Peru,PER,2020-03-21,PIURA,SULLANA,MARCAVELICA,1,1
Peru,PER,2020-03-23,LIMA,LIMA,CHORRILLOS,1,1
Peru,PER,2020-03-24,CUSCO,CUSCO,CUSCO,1,1
Peru,PER,2020-03-24,LA LIBERTAD,TRUJILLO,TRUJILLO,1,1
Peru,PER,2020-03-24,LIMA,LIMA,JESUS MARIA,1,1
Peru,PER,2020-03-26,LA LIBERTAD,TRUJILLO,TRUJILLO,1,1
Peru,PER,2020-03-26,LAMBAYEQUE,FERREÑAFE,FERREÑAFE,2,2
Peru,PER,2020-03-26,LIMA,LIMA,LIMA,2,2
Peru,PER,2020-03-26,LIMA,LIMA,SAN JUAN DE LURIGANCHO,1,3
Peru,PER,2020-03-27,CUSCO,CUSCO,CUSCO,1,1
Peru,PER,2020-03-27,LIMA,LIMA,JESUS MARIA,2,2
Peru,PER,2020-03-27,LIMA,LIMA,LOS OLIVOS,1,3
Peru,PER,2020-03-27,LIMA,LIMA,SAN ISIDRO,1,4
Peru,PER,2020-03-27,LIMA,LIMA,SANTIAGO DE SURCO,1,5
Peru,PER,2020-03-28,ANCASH,SANTA,SANTA,1,1
Peru,PER,2020-03-28,LIMA,LIMA,LA MOLINA,1,1
Peru,PER,2020-03-28,LIMA,LIMA,LIMA,1,2
Peru,PER,2020-03-29,AREQUIPA,CAYLLOMA,MAJES,1,1
Peru,PER,2020-03-29,CALLAO,LIMA,SAN MARTIN DE PORRES,1,1
Peru,PER,2020-03-29,CALLAO,LIMA,SAN MIGUEL,1,2
Peru,PER,2020-03-29,LAMBAYEQUE,CHICLAYO,MONSEFU,1,1
Peru,PER,2020-03-29,LIMA,LIMA,BREÑA,1,1
Peru,PER,2020-03-29,LIMA,LIMA,LIMA,2,3
Peru,PER,2020-03-29,LIMA,LIMA,SAN JUAN DE LURIGANCHO,2,5
Peru,PER,2020-03-29,LIMA,LIMA,SAN MARTIN DE PORRES,1,6
Peru,PER,2020-03-29,LIMA,LIMA,VILLA EL SALVADOR,1,7
Peru,PER,2020-03-29,PIURA,PIURA,VEINTISÉIS DE OCTUBRE,1,1
Peru,PER,2020-03-30,JUNIN,HUANCAYO,EL TAMBO,1,1
Peru,PER,2020-03-30,LAMBAYEQUE,CHICLAYO,CHICLAYO,1,1
Peru,PER,2020-03-30,LAMBAYEQUE,CHICLAYO,ETEN,1,2
Peru,PER,2020-03-30,LIMA,LIMA,EL AGUSTINO,1,1
Peru,PER,2020-03-30,LIMA,LIMA,LIMA,1,2
Peru,PER,2020-03-30,LIMA,LIMA,PUEBLO LIBRE,1,3
Peru,PER,2020-03-30,LIMA,LIMA,SAN ISIDRO,1,4
Peru,PER,2020-03-30,LIMA,LIMA,SANTIAGO DE SURCO,1,5
Peru,PER,2020-03-30,LORETO,MAYNAS,BELEN,1,1
Peru,PER,2020-03-30,LORETO,MAYNAS,INDIANA,1,2
Peru,PER,2020-03-30,TUMBES,ZARUMILLA,AGUAS VERDES,1,1
Peru,PER,2020-03-31,AREQUIPA,AREQUIPA,CAYMA,1,1
Peru,PER,2020-03-31,CALLAO,CALLAO,CALLAO,2,2
Peru,PER,2020-03-31,LA LIBERTAD,TRUJILLO,TRUJILLO,1,1
Peru,PER,2020-03-31,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,1,1
Peru,PER,2020-03-31,LIMA,HUAURA,HUACHO,1,1
Peru,PER,2020-03-31,LIMA,LIMA,CHORRILLOS,1,1
Peru,PER,2020-03-31,LIMA,LIMA,INDEPENDENCIA,1,2
Peru,PER,2020-03-31,LIMA,LIMA,LIMA,2,4
Peru,PER,2020-03-31,LIMA,LIMA,PUEBLO LIBRE,2,6
Peru,PER,2020-03-31,LIMA,LIMA,PUENTE PIEDRA,1,7
Peru,PER,2020-03-31,LIMA,LIMA,RIMAC,1,8
Peru,PER,2020-03-31,LIMA,LIMA,SAN LUIS,1,9
Peru,PER,2020-03-31,LIMA,LIMA,SAN MARTIN DE PORRES,1,10
Peru,PER,2020-03-31,LIMA,LIMA,SANTA ANITA,1,11
Peru,PER,2020-03-31,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,1,1
Peru,PER,2020-04-01,CALLAO,CALLAO,CALLAO,2,2
Peru,PER,2020-04-01,CALLAO,CALLAO,LA PERLA,1,3
Peru,PER,2020-04-01,ICA,CHINCHA,CHINCHA ALTA,1,1
Peru,PER,2020-04-01,LAMBAYEQUE,LAMBAYEQUE,MOTUPE,1,1
Peru,PER,2020-04-01,LIMA,LIMA,COMAS,1,1
