pais,iso3c,departamento,fecha_fallecimiento,n,n_acum
Peru,PER,AMAZONAS,2020-04-05,1,1
Peru,PER,AMAZONAS,2020-04-06,1,1
Peru,PER,AMAZONAS,2020-04-07,1,1
Peru,PER,AMAZONAS,2020-04-08,1,1
Peru,PER,AMAZONAS,2020-04-09,1,1
Peru,PER,AMAZONAS,2020-04-10,1,1
Peru,PER,AMAZONAS,2020-04-11,1,1
Peru,PER,AMAZONAS,2020-04-12,1,1
Peru,PER,AMAZONAS,2020-04-13,1,1
Peru,PER,AMAZONAS,2020-04-14,1,1
Peru,PER,AMAZONAS,2020-04-15,1,1
Peru,PER,AMAZONAS,2020-04-16,1,1
Peru,PER,AMAZONAS,2020-04-17,1,1
Peru,PER,AMAZONAS,2020-04-18,1,1
Peru,PER,AMAZONAS,2020-04-19,1,1
Peru,PER,AMAZONAS,2020-04-20,1,1
Peru,PER,AMAZONAS,2020-04-21,1,1
Peru,PER,AMAZONAS,2020-04-22,1,1
Peru,PER,AMAZONAS,2020-04-23,1,1
Peru,PER,AMAZONAS,2020-04-24,1,1
Peru,PER,AMAZONAS,2020-04-25,1,1
Peru,PER,AMAZONAS,2020-04-26,1,2
Peru,PER,AMAZONAS,2020-04-27,1,2
Peru,PER,AMAZONAS,2020-04-28,1,2
Peru,PER,AMAZONAS,2020-04-29,1,2
Peru,PER,AMAZONAS,2020-04-30,1,2
Peru,PER,AMAZONAS,2020-05-01,2,4
Peru,PER,AMAZONAS,2020-05-02,2,4
Peru,PER,AMAZONAS,2020-05-03,2,6
Peru,PER,AMAZONAS,2020-05-04,2,8
Peru,PER,AMAZONAS,2020-05-05,4,12
Peru,PER,AMAZONAS,2020-05-06,4,16
Peru,PER,AMAZONAS,2020-05-07,4,16
Peru,PER,AMAZONAS,2020-05-08,4,16
Peru,PER,AMAZONAS,2020-05-09,2,18
Peru,PER,AMAZONAS,2020-05-10,5,23
Peru,PER,AMAZONAS,2020-05-11,2,25
Peru,PER,AMAZONAS,2020-05-12,1,26
Peru,PER,AMAZONAS,2020-05-13,5,31
Peru,PER,AMAZONAS,2020-05-14,2,33
Peru,PER,AMAZONAS,2020-05-15,2,35
Peru,PER,AMAZONAS,2020-05-16,4,39
Peru,PER,AMAZONAS,2020-05-17,4,43
Peru,PER,AMAZONAS,2020-05-18,2,45
Peru,PER,AMAZONAS,2020-05-19,2,47
Peru,PER,AMAZONAS,2020-05-20,2,47
Peru,PER,AMAZONAS,2020-05-21,6,53
Peru,PER,AMAZONAS,2020-05-22,6,53
Peru,PER,AMAZONAS,2020-05-23,3,56
Peru,PER,AMAZONAS,2020-05-24,2,58
Peru,PER,AMAZONAS,2020-05-25,1,59
Peru,PER,AMAZONAS,2020-05-26,1,59
Peru,PER,AMAZONAS,2020-05-27,1,59
Peru,PER,AMAZONAS,2020-05-28,4,63
Peru,PER,AMAZONAS,2020-05-29,1,64
Peru,PER,AMAZONAS,2020-05-30,1,65
Peru,PER,AMAZONAS,2020-05-31,1,65
Peru,PER,AMAZONAS,2020-06-01,3,68
Peru,PER,AMAZONAS,2020-06-02,4,72
Peru,PER,AMAZONAS,2020-06-03,12,84
Peru,PER,AMAZONAS,2020-06-04,6,90
Peru,PER,AMAZONAS,2020-06-05,6,90
Peru,PER,AMAZONAS,2020-06-06,2,92
Peru,PER,AMAZONAS,2020-06-07,2,92
Peru,PER,AMAZONAS,2020-06-08,5,97
Peru,PER,AMAZONAS,2020-06-09,4,101
Peru,PER,AMAZONAS,2020-06-10,4,101
Peru,PER,AMAZONAS,2020-06-11,4,101
Peru,PER,AMAZONAS,2020-06-12,7,108
Peru,PER,AMAZONAS,2020-06-13,3,111
Peru,PER,AMAZONAS,2020-06-14,2,113
Peru,PER,AMAZONAS,2020-06-15,8,121
Peru,PER,AMAZONAS,2020-06-16,6,127
Peru,PER,AMAZONAS,2020-06-17,5,132
Peru,PER,AMAZONAS,2020-06-18,8,140
Peru,PER,AMAZONAS,2020-06-19,2,142
Peru,PER,AMAZONAS,2020-06-20,7,149
Peru,PER,AMAZONAS,2020-06-21,9,158
Peru,PER,AMAZONAS,2020-06-22,6,164
Peru,PER,AMAZONAS,2020-06-23,6,164
Peru,PER,AMAZONAS,2020-06-24,8,172
Peru,PER,AMAZONAS,2020-06-25,10,182
Peru,PER,AMAZONAS,2020-06-26,20,202
Peru,PER,AMAZONAS,2020-06-27,14,216
Peru,PER,AMAZONAS,2020-06-28,10,226
Peru,PER,AMAZONAS,2020-06-29,14,240
Peru,PER,AMAZONAS,2020-06-30,6,246
Peru,PER,AMAZONAS,2020-07-01,12,258
Peru,PER,AMAZONAS,2020-07-02,9,267
Peru,PER,AMAZONAS,2020-07-03,23,290
Peru,PER,AMAZONAS,2020-07-04,13,303
Peru,PER,AMAZONAS,2020-07-05,10,313
Peru,PER,AMAZONAS,2020-07-06,25,338
Peru,PER,AMAZONAS,2020-07-07,4,342
Peru,PER,AMAZONAS,2020-07-08,8,350
Peru,PER,AMAZONAS,2020-07-09,15,365
Peru,PER,AMAZONAS,2020-07-10,18,383
Peru,PER,AMAZONAS,2020-07-11,8,391
Peru,PER,AMAZONAS,2020-07-12,24,415
Peru,PER,AMAZONAS,2020-07-13,14,429
